farm;lat;lon;fw;Nf;Ns
237;51.228000;1.5700000;5689.29;17067.9;12322.5
238;51.278000;-3.2400000;5687.71;17063.1;13411.0
239;50.298000;1.2900000;5682.66;17048.0;7470.75
240;39.048000;-9.4200000;5682.05;17046.1;11270.9
241;51.278000;2.6900000;5682.03;17046.1;13382.4
242;52.478000;-9.7500000;5679.21;17037.6;13032.4
243;41.808000;-8.8700000;5676.83;17030.5;8032.56
244;50.778000;-1.1800000;5675.93;17027.8;9315.64
245;49.958000;0.78000000;5675.35;17026.0;13313.2
246;49.958000;1.0800000;5666.34;16999.0;13144.5
247;49.848000;0.45000000;5664.35;16993.1;13226.8
248;50.978000;1.6800000;5662.91;16988.7;10942.9
249;49.958000;-6.3400000;5662.11;16986.3;10277.5
250;51.528000;-3.8500000;5659.03;16977.1;13311.5
251;49.478000;0.040000000;5657.21;16971.6;13361.2
252;51.368000;-3.8300000;5655.23;16965.7;13314.3
253;51.208000;2.6100000;5652.76;16958.3;13326.8
254;49.938000;0.57000000;5650.41;16951.2;13273.5
255;51.748000;-8.1600000;5648.93;16946.8;12819.9
256;51.118000;2.3200000;5648.52;16945.6;13275.1
257;51.708000;-8.3500000;5647.05;16941.1;13069.1
258;47.448000;-2.7700000;5644.81;16934.4;13396.4
259;49.318000;-0.18000000;5641.74;16925.2;13366.6
260;50.718000;-1.6800000;5636.77;16910.3;8129.94
261;51.108000;2.2000000;5636.02;16908.1;13230.4
262;51.308000;-3.7600000;5633.38;16900.1;13108.6
263;45.588000;-1.1900000;5633.14;16899.4;13394.6
264;51.038000;2.1000000;5631.68;16895.0;12768.1
265;51.738000;3.5600000;5628.45;16885.4;13235.9
266;50.778000;-0.70000000;5627.13;16881.4;9353.91
267;50.728000;-1.5400000;5626.95;16880.8;10505.8
268;50.078000;1.1100000;5626.81;16880.4;12827.9
269;51.618000;3.7200000;5625.72;16877.1;13264.1
270;49.468000;-0.14000000;5622.03;16866.1;13173.0
271;52.048000;-7.4900000;5617.46;16852.4;12105.6
272;49.408000;-0.070000000;5614.98;16844.9;13218.8
273;50.838000;1.5200000;5614.60;16843.8;11939.2
274;51.398000;-3.5400000;5612.57;16837.7;13245.6
275;51.468000;-9.6900000;5612.39;16837.2;12789.3
276;50.418000;1.4200000;5611.79;16835.4;9142.59
277;51.928000;-7.7900000;5609.60;16828.8;12823.0
278;51.378000;2.9500000;5609.36;16828.1;13217.8
279;50.578000;1.4900000;5604.44;16813.3;12351.3
280;51.768000;3.8500000;5600.51;16801.5;13187.9
281;51.408000;1.6200000;5598.43;16795.3;7446.08
282;51.198000;-3.2300000;5596.49;16789.5;13029.4
283;51.828000;3.7600000;5594.73;16784.2;13173.3
284;51.068000;1.9200000;5593.14;16779.4;10148.4
285;49.908000;0.51000000;5592.83;16778.5;13097.5
286;41.148000;30.620000;5588.22;13039.2;51218.8
287;51.588000;-10.110000;5587.36;16762.1;12584.2
288;49.988000;0.92000000;5585.01;16755.0;12971.8
289;47.138000;-2.4300000;5582.66;16748.0;13222.6
290;51.338000;2.8100000;5582.08;16746.2;13146.4
291;45.318000;-0.77000000;5581.77;16745.3;13364.9
292;51.508000;1.3000000;5580.27;16740.8;5779.77
293;51.338000;-3.3400000;5575.67;16727.0;13162.5
294;49.538000;1.6200583e-14;5573.95;16721.9;13142.9
295;50.788000;-1.3200000;5572.49;16717.5;10289.5
296;50.988000;1.7400000;5567.25;16701.7;11398.3
297;49.368000;-0.60000000;5565.43;16696.3;13216.4
298;50.718000;-0.72000000;5560.42;16681.3;6896.63
299;49.758000;0.11000000;5558.92;16676.8;12913.4
300;51.538000;0.67000000;5557.04;16671.1;12910.3
301;51.628000;-4.8100000;5555.25;16665.8;12130.3
302;50.078000;1.0500000;5554.54;16663.6;12771.7
303;41.868000;-8.8600000;5553.96;16661.9;2399.52
304;52.128000;-7.0000000;5551.11;16653.3;12670.1
305;50.128000;1.2300000;5542.89;16628.7;12431.7
