date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;ocean_mixed_layer_thickness;par;current_intensity
2020-08-25 12:00:00;5.6;18.19983;15.306;-2332.8;3801.6003;19.099976;0.52349585;4460.2827
2020-08-26 12:00:00;5.6;23.799744;15.32;604.80005;-2851.2;14.400024;0.52250385;2914.6396
2020-08-27 12:00:00;5.6;39.19983;15.55;-2505.6;-1987.2002;10.400024;0.3325352;3197.9675
2020-08-28 12:00:00;8.400001;93.79974;15.379;-5961.6006;-12355.2;10.400024;0.44128639;13718.296
2020-08-29 12:00:00;14.0;138.59991;14.723;-5529.6;-14256.001;10.400024;0.516266;15290.849
2020-08-30 12:00:00;11.2;124.599915;14.389;-1296.0;-1296.0;10.400024;0.15114456;1832.8208
2020-08-31 12:00:00;4.2000003;70.0;14.1310005;1987.2002;3196.8;10.5;0.47536287;3764.1062
2020-09-01 12:00:00;4.2000003;54.599915;14.401;-2073.6;3542.4001;11.0;0.10293581;4104.682
2020-09-02 12:00:00;4.2000003;57.400085;14.633;-1296.0;5702.4;10.400024;0.3656647;5847.8184
2020-09-03 12:00:00;5.6;50.400085;14.569;-432.00003;691.2;10.400024;0.4613735;815.096
2020-09-04 12:00:00;4.2000003;37.799744;14.577;-864.00006;-2160.0;10.400024;0.3512232;2326.391
2020-09-05 12:00:00;4.2000003;32.19983;14.709;-2937.6;-2764.8;10.400024;0.2437457;4034.057
2020-09-06 12:00:00;4.2000003;51.799744;14.872;-2592.0;-4147.2;10.400024;0.16025485;4890.576
2020-09-07 12:00:00;5.6;81.19983;14.745001;-3542.4001;86.4;10.400024;0.15099826;3543.4536
2020-09-08 12:00:00;4.2000003;54.599915;14.904;-1382.4;2937.6;10.400024;0.4359833;3246.6174
2020-09-09 12:00:00;5.6;61.599915;15.068001;-432.00003;-5875.2;10.400024;0.30625072;5891.061
2020-09-10 12:00:00;7.0;107.79974;14.564;-2937.6;-2332.8;10.400024;0.17276715;3751.193
2020-09-11 12:00:00;5.6;64.400085;14.117001;-1555.2001;4579.2;10.400024;0.3841289;4836.0854
2020-09-12 12:00:00;4.2000003;30.799744;14.123;1641.6001;1641.6001;10.400024;0.19284761;2321.5732
2020-09-13 12:00:00;2.8;26.599915;14.127001;777.60004;-1209.6001;10.900024;0.069691405;1437.9827
2020-09-14 12:00:00;1.4;23.799744;14.335;1468.8;-5097.6006;11.699951;0.10837374;5304.989
2020-09-15 12:00:00;2.8;39.19983;14.6;691.2;-5875.2;11.099976;0.29135585;5915.719
2020-09-16 12:00:00;2.8;43.400085;14.8;691.2;-3715.2002;10.400024;0.15506057;3778.9507
2020-09-17 12:00:00;2.8;50.400085;14.809;2246.4001;-4320.0;11.099976;0.41122252;4869.1597
2020-09-18 12:00:00;2.8;49.0;14.891001;172.8;-3628.8003;12.400024;0.37780437;3632.9124
2020-09-19 12:00:00;4.2000003;72.79974;15.069;-1728.0001;-950.4001;12.099976;0.40077937;1972.1168
