"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"635",635,7.27897991708111,22.0150047728475,231139.109389019,192631.237778913,4.31840147988397,0,0,-213.835507791514,224025330.374221,-261876694.638615,94116920.4,117.6461505,21.9990460557753,19263.1237778913,11557.8742667348,0.857133122354798,0.851749403392223,0.010158066836837,0.000889922993502554,0.00698932811668758,0.0145749756995134
"636",636,7.83311627433734,14.8119137754413,231071.038847188,192602.156518648,6.62863842042936,0,0,150.337037721094,604927234.221391,-64863312.2905935,17286663.96,21.60832995,21.9973235515053,19260.2156518648,11556.1293911189,0.857115541221813,0.843104768632198,0.0320648861760677,0.00278055739581783,0.0197787239993266,0.0393008244604409
"637",637,7.82535185057732,17.2424610500519,231234.216543853,192736.886607269,8.84603116527961,0,0,119.138677481983,597315563.644896,-74212939.5106964,45080258.4,56.350323,21.997403331259,19273.6886607269,11564.2131964361,0.857116355607643,0.847588844272241,0.0300321802727028,0.00261814154819646,0.0191870032322531,0.0387796546316624
"638",638,8.34424076446434,32.6815859019563,231313.154610846,192791.142580647,7.22805270293938,0,0,-10.3633167507977,454372088.720479,-154407234.810102,51886497.6,64.858122,21.9981214652579,19279.1142580647,11567.4685548388,0.857123685848575,0.84465146551788,0.0224024452872628,0.00194624588758551,0.0139791508725654,0.0295034059844897
"639",639,8.78305420490358,34.7428100538003,231287.473539781,192767.008857883,6.68187845886053,0,0,-38.837102649684,414553945.546779,-172756260.250842,45962124,57.452655,21.9982913523495,19276.7008857883,11566.020531473,0.857125419834591,0.885315582133848,0.0197512023963767,0.00179852827058018,0.0127832820383221,0.0269273637864375
"640",640,9.08670159886,37.2851819574334,231281.71683818,192768.013130664,6.16643677329157,0,0,40.7857907555979,504175376.107681,-130194976.379324,57524850,71.9060625,21.9979302106211,19276.8013130664,11566.0807878398,0.857121733720142,0.899553753959476,0.0239029615752215,0.00221157966040741,0.01553824630213,0.0327402809234067
"641",641,9.23008059856751,46.1149925844711,231347.360509989,192825.197718623,4.70228488517338,0,0,73.5166611617323,547188136.712486,-111890156.560419,99270000,124.0875,21.9977763926672,19282.5197718623,11569.5118631174,0.857120163667731,0.911769221071811,0.025392125200456,0.00238126065489123,0.0167187302055067,0.0355196409522113
"642",642,10.5633761407212,58.002303044819,231334.770596059,192799.803616779,4.10698525983159,0,0,-124.591910549544,321296946.577917,-217403876.690069,70814988,88.518735,21.9987036426591,19279.9803616779,11567.9882170067,0.857129627781727,0.915654163017949,0.0143743263043082,0.00135377573933016,0.00986873703562656,0.0208857848028132
"643",643,12.209249049127,63.4332701103919,231125.075838335,192615.430362694,4.05783665564725,0,0,-244.562095520265,172753639.551638,-286327456.230107,80656207.2,100.820259,21.9993022055983,19261.5430362694,11556.9258217616,0.857135736436906,0.92829134985068,0.00764876728740638,0.00073030891107864,0.00537473503315645,0.0112744328912561
"644",644,12.557563869055,58.1867633692123,230934.489238603,192470.941294057,4.79683170404366,0,0,-44.5818034663174,393957258.239622,-179672337.250537,45851164.8,57.313956,21.9984080550519,19247.0941294057,11548.2564776434,0.857126610959293,0.948953003662718,0.0181176771369663,0.00176837125039979,0.0122876981900455,0.025650746334334
"645",645,13.3259148084848,54.2793153689629,230778.390483676,192326.730359797,6.17327804824356,0,0,-245.011695466992,174928461.010241,-283802413.546572,42826284,53.532855,21.9992884011466,19232.6730359797,11539.6038215878,0.857135595560972,0.964515381527852,0.00731873035564655,0.000726065300394624,0.00551605594082771,0.0114385123343019
"646",646,13.2588406846443,56.79979669916,230653.80491839,192246.308541367,6.38507812522516,0,0,81.7325556831484,536869117.273518,-109587866.790506,50487489.6,63.109362,21.9978275093256,19224.6308541367,11534.778512482,0.857120685430109,0.97142739274743,0.0242719205069225,0.00242514499395738,0.0168344142755318,0.0349766029715819
"647",647,12.7254792621928,67.6220658041674,230667.684885415,192246.858543944,4.72133661157516,0,0,-81.1195300292673,368653403.196302,-191990419.363377,110850072,138.56259,21.9985151711953,19224.6858543944,11534.8115126366,0.857127704221417,0.980776362590908,0.0156430921819782,0.0015780449644605,0.0114720694513265,0.0240362472199239
"648",648,13.4150227827317,82.2678034048666,230582.2010655,192176.547591502,3.5870620738029,0,0,-59.6195872571918,384956024.658082,-184153664.45953,100856847.6,126.0710595,21.9984568333299,19217.6547591502,11530.5928554901,0.857127108808304,0.986849012387131,0.0166475193764331,0.00168976658179997,0.0119676166716539,0.0251090228827804
"649",649,14.1450157734895,96.7020179102338,230462.52814788,192069.943169973,3.12360731699228,0,0,-153.47590277849,278467779.870441,-234588941.956547,112655088,140.81886,21.9988856321955,19206.9943169973,11524.1965901984,0.857131485137626,0.989667320724209,0.0117978387432295,0.00120093742807706,0.00867323305536699,0.0181964559705269
"650",650,14.3260000531281,109.71277999334,230346.131831218,191982.101048078,3.82484047269393,0,0,-22.9800464744716,422981344.060979,-165873305.87848,50361600,62.952,21.9983128934261,19198.2101048078,11518.9260628847,0.85712563969482,0.991347899174953,0.0184406224680055,0.00188030109917009,0.0131418769759744,0.0276150368803792
"651",651,13.3051119510149,117.181970180028,230327.013816021,191967.829101572,4.2536058650863,0,0,-5.99758598950592,449657649.777917,-154614488.964712,83147455.2,103.934319,21.9982090173116,19196.7829101572,11518.0697460943,0.857124579471088,0.99866133592231,0.0191667623623957,0.00196875733805203,0.0138815324976437,0.0293488016223488
"652",652,11.5035743595591,113.467935191551,230329.711519163,191971.645623534,4.53991771022041,0,0,13.2765125415153,474214647.406058,-145550445.439321,53987199.6,67.4839995,21.9981110111881,19197.1645623534,11518.2987374121,0.85712357914568,0.999960197912124,0.0201180740499822,0.00206915871611348,0.0144826075575484,0.0309378327598562
"653",653,10.0574072249366,104.935106613958,230341.132758008,191980.751879947,5.62016561938621,0,0,4.94382433309579,467202120.101984,-151293448.017501,45755762.4,57.194703,21.9981368185311,19198.0751879947,11518.8451127968,0.857123842556507,0.999747421983199,0.0197002206263309,0.00202575166668889,0.0141223392803007,0.0304722418847386
"654",654,9.76799545128431,97.8645422204113,230315.275179399,191954.682020074,6.60642404660748,0,0,-56.9001996901171,395692648.835241,-184749284.935602,40601404.8,50.751756,21.9984192495661,19195.4682020074,11517.2809212045,0.85712672521492,0.99983461975682,0.0165655843899208,0.00170357482770769,0.0119495802152323,0.0258182090363053
"655",655,11.1813560325149,87.8880479591601,230089.228927019,191743.352927903,7.42499821593616,0,0,-366.048221164716,35537587.4894057,-350741114.925935,37501910.4,46.877388,21.9998542538022,19174.3352927903,11504.6011756742,0.857141369921274,0.999549301595053,0.000884607269720033,9.09470102864369e-05,0.0011148458649828,0.00237505599383839
"656",656,13.2915696775587,77.2037146202785,229668.106237965,191393.770314129,8.02140810992729,0,0,-333.27489254295,56357675.1624318,-339654050.584654,35868930,44.8361625,21.9997691597286,19139.3770314129,11483.6262188477,0.857140501591044,0.999501763840878,0.00251635279050335,0.000258695191614876,0.00178906727382769,0.00375018741743744
"657",657,16.9843998993441,71.4669030929597,229267.037271449,191059.431029345,10.6617234909576,0,0,-335.394077857588,54153910.6747411,-339374900.535191,20358949.2,25.4486865,21.9997759878305,19105.9431029345,11463.5658617607,0.857140571267817,0.999673254672885,0.00237841400138797,0.000244556282562807,0.00176296878157758,0.00363189757027503
"658",658,20.2318992236555,68.685662310418,228911.137643061,190769.351883435,13.6185332696979,0,0,-245.290153442573,154950668.173696,-288959121.772983,23821339.56,29.77667445,21.9993665325724,19076.9351883435,11446.1611130061,0.857136392897022,0.999825126972071,0.00694493295943685,0.000714205657141132,0.00503026484742332,0.0102590653691097
"659",659,17.0329417857292,66.8463347705806,228668.421813385,190574.726116014,10.4842700959667,0,0,-144.670646526024,273733668.576541,-231537893.441299,45080258.4,56.350323,21.9988849767088,19057.4726116014,11434.4835669609,0.857131478447921,0.998436840288813,0.0120830794418487,0.0012408718119424,0.00877658927104257,0.0180438606371086
"660",660,14.2678133190086,73.3278588247849,228518.800849592,190453.828194948,6.9185583271141,0,0,-97.4466639720185,333634109.370318,-204351378.032329,77981556,97.476945,21.9986457093255,19045.3828194948,11427.2296916969,0.857129036513321,0.99647196618797,0.0145214859096193,0.00148834494483213,0.0105465695052336,0.0219722240298817
"661",661,13.4569042294701,81.2417394148358,228374.067138662,190329.399551107,6.01156278568716,0,0,-151.259026655295,274959004.282405,-233169260.586465,42227656.8,52.784571,21.9988854941634,19032.9399551107,11419.7639730664,0.857131483728911,0.997564617088599,0.0117467405041851,0.00120527765541194,0.00864511866206359,0.0181288044090793
"662",662,13.3079902601276,84.6329838123259,228226.135159246,190210.65081967,5.78180205130232,0,0,-86.6898245700147,346011116.034509,-199336250.687901,63298032,79.12254,21.9985991413077,19021.065081967,11412.6390491802,0.857128561235937,0.999912728928342,0.0150150349596201,0.00154424305791266,0.0108579271059608,0.022808643585393
"663",663,13.0003739577432,73.880869591617,228105.40681569,190107.947217987,5.66797168947248,0,0,-118.602304515599,312211343.774162,-215006515.324345,48273184.8,60.341481,21.9987307292385,19010.7947217987,11406.4768330792,0.857129904226053,0.99977369089177,0.0133822897987389,0.00137613179116808,0.00982175821587412,0.0205969409929239
